"term","total","prob"
"wuthering",54,9.95148077227637e-06
"wuts",47,8.66147400549981e-06
"wuuut",6,1.10572008580849e-06
"wuvvv",4,7.37146723872324e-07
"wuz",117,2.15615416732655e-05
"wuzzup",6,1.10572008580849e-06
"wv",245,4.51502368371798e-05
"wva",19,3.50144693839354e-06
"wvalencia",12,2.21144017161697e-06
"wvu",99,1.824438141584e-05
"ww",421,7.75846926875621e-05
"wwc",10,1.84286680968081e-06
"wwdc",60,1.10572008580849e-05
"wwe",545,0.000100436241127604
"wwf",91,1.67700879680954e-05
"wwhat",16,2.9485868954893e-06
"wwhite",4,7.37146723872324e-07
"wwhl",14,2.58001353355313e-06
"wwi",79,1.45586477964784e-05
"wwii",326,6.00774579955944e-05
"wwp",7,1.29000676677657e-06
"wws",13,2.39572685258505e-06
"www",92,1.69543746490635e-05
"wwwaarontv",19,3.50144693839354e-06
"wwwallegrodancecompanynet",14,2.58001353355313e-06
"wwwamazoncom",27,4.97574038613819e-06
"wwwamericanlegacymagcom",18,3.31716025742546e-06
"wwwaxeoffusacom",6,1.10572008580849e-06
"wwwbattleofthebandscommorelikethemovies",4,7.37146723872324e-07
"wwwbirdofprayerorg",37,6.818607195819e-06
"wwwbitlycmmac",4,7.37146723872324e-07
"wwwblazewwradionet",17,3.13287357645738e-06
"wwwbraussecom",8,1.47429344774465e-06
"wwwbruzzesiforprescom",11,2.02715349064889e-06
"wwwbuywithmecom",6,1.10572008580849e-06
"wwwcafecuzcocom",4,7.37146723872324e-07
"wwwchasingcom",6,1.10572008580849e-06
"wwwclearocom",8,1.47429344774465e-06
"wwwcoachescornercom",4,7.37146723872324e-07
"wwwcollaterallivecom",6,1.10572008580849e-06
"wwwconcretegeorgiacom",6,1.10572008580849e-06
"wwwcpdxcom",13,2.39572685258505e-06
"wwwcreatemoneywebcom",17,3.13287357645738e-06
"wwwcrowdclickcom",84,1.54800812013188e-05
"wwwdjchinonet",4,7.37146723872324e-07
"wwwdmwilliamsorg",4,7.37146723872324e-07
"wwwdobsonsrestaurantcomwinelist",4,7.37146723872324e-07
"wwwdrwiggyscom",28,5.16002706710627e-06
"wwwelectrolouiscom",4,7.37146723872324e-07
"wwweproductslessbiz",22,4.05430698129778e-06
"wwwexpresslubecom",11,2.02715349064889e-06
"wwwflawlessmoneygangcom",5,9.21433404840405e-07
"wwwfreekshowradiocom",38,7.00289387678708e-06
"wwwfreexpediacom",29,5.34431374807435e-06
"wwwgametimeathleticscom",4,7.37146723872324e-07
"wwwgasandfoodvideocom",12,2.21144017161697e-06
"wwwgemcuisinecom",4,7.37146723872324e-07
"wwwgetactiveyogatourcom",4,7.37146723872324e-07
"wwwgetrichradiocom",18,3.31716025742546e-06
"wwwghartwalkcom",8,1.47429344774465e-06
"wwwgotimecom",11,2.02715349064889e-06
"wwwgpartycom",71,1.30843543487338e-05
"wwwgreatlakesclothingcompanycom",15,2.76430021452122e-06
"wwwhairinthecityme",21,3.8700203003297e-06
"wwwhappycakewilltravelcom",20,3.68573361936162e-06
"wwwhgpofcom",6,1.10572008580849e-06
"wwwhistoricfortmyercom",4,7.37146723872324e-07
"wwwhottestgayplacescom",4,7.37146723872324e-07
"wwwiamincbiz",27,4.97574038613819e-06
"wwwicugolfstoriescom",13,2.39572685258505e-06
"wwwinlinewaitingcom",7,1.29000676677657e-06
"wwwinsanityshirtscom",13,2.39572685258505e-06
"wwwjoborworkercom",21,3.8700203003297e-06
"wwwkandizonecom",13,2.39572685258505e-06
"wwwkingoffittedscom",6,1.10572008580849e-06
"wwwkissandimcom",12,2.21144017161697e-06
"wwwkissandimcomregister",6,1.10572008580849e-06
"wwwknowledgesafaricom",58,1.06886274961487e-05
"wwwkravitzdentalcom",25,4.60716702420203e-06
"wwwkrqecom",33,6.08146047194667e-06
"wwwkupozcomkupozchic",6,1.10572008580849e-06
"wwwlasvegashcgcom",24,4.42288034323394e-06
"wwwlindaswiftnet",25,4.60716702420203e-06
"wwwlivcreationscom",4,7.37146723872324e-07
"wwwlonestardeliveryonlinecom",10,1.84286680968081e-06
"wwwmedicalteamsorg",4,7.37146723872324e-07
"wwwmevsmyselfnet",4,7.37146723872324e-07
"wwwmicroventuresupportorg",4,7.37146723872324e-07
"wwwmidcenturymoblercom",5,9.21433404840405e-07
"wwwmilwaukeehabitatorg",6,1.10572008580849e-06
"wwwmpbtodaycomcorkyd",12,2.21144017161697e-06
"wwwmrdspaintingcom",16,2.9485868954893e-06
"wwwmumbaibistrocom",5,9.21433404840405e-07
"wwwmwishartpicom",7,1.29000676677657e-06
"wwwmyspacecomhistoryrepeatsband",6,1.10572008580849e-06
"wwwmyspacecomtravelingcircle",14,2.58001353355313e-06
"wwwnlytesoldierzningcom",6,1.10572008580849e-06
"wwwnotnilladesignsartfirecom",4,7.37146723872324e-07
"wwwpatrickscateringcom",23,4.23859366226586e-06
"wwwphreepscom",11,2.02715349064889e-06
"wwwplayffnowcom",10,1.84286680968081e-06
"wwwprintingnyccom",19,3.50144693839354e-06
"wwwradiotagrcomwfuv",109,2.00872482255208e-05
"wwwreverbnationcomjewallep",15,2.76430021452122e-06
"wwwreverbnationcomrachelmargaret",4,7.37146723872324e-07
"wwwreverbnationcomrufar",10,1.84286680968081e-06
"wwwreverbnationcomzigzagdaarsonist",4,7.37146723872324e-07
"wwwrickeyleewatsoncom",11,2.02715349064889e-06
"wwwrlimagingcom",6,1.10572008580849e-06
"wwwrocketrobinsoncom",19,3.50144693839354e-06
"wwwrocktheinknet",4,7.37146723872324e-07
"wwwrosegardenboutiquecom",6,1.10572008580849e-06
"wwwrxyoucom",12,2.21144017161697e-06
"wwwsgiantscom",11,2.02715349064889e-06
"wwwshasticcom",23,4.23859366226586e-06
"wwwshindokumatecom",8,1.47429344774465e-06
"wwwsilverproductionsmvcom",6,1.10572008580849e-06
"wwwsnoclothingcom",39,7.18718055775516e-06
"wwwsouthfloridaalertscom",23,4.23859366226586e-06
"wwwstardesignsacom",25,4.60716702420203e-06
"wwwswopcoloradocom",6,1.10572008580849e-06
"wwwtenacitycircusartscom",9,1.65858012871273e-06
"wwwterriblepeopleshowcom",22,4.05430698129778e-06
"wwwtexasjamscom",4,7.37146723872324e-07
"wwwthehomeandgardenmarketcom",16,2.9485868954893e-06
"wwwtheprofittrapcom",17,3.13287357645738e-06
"wwwtheroomlivecom",26,4.79145370517011e-06
"wwwtheslidersmusiccom",8,1.47429344774465e-06
"wwwthirteenecom",4,7.37146723872324e-07
"wwwtinyurlcomelegantlivingfurniture",54,9.95148077227637e-06
"wwwtodaysfavoritetoyscom",30,5.52860042904243e-06
"wwwtrgcscomjoinushtml",4,7.37146723872324e-07
"wwwtwintapescom",6,1.10572008580849e-06
"wwwunygcom",6,1.10572008580849e-06
"wwwussportspagescom",40,7.37146723872324e-06
"wwwvarsityjacketscom",28,5.16002706710627e-06
"wwwvictoriansourcecom",10,1.84286680968081e-06
"wwwwatchnhllivecom",65,1.19786342629253e-05
"wwwwausautogocom",8,1.47429344774465e-06
"wwwwcuworg",10,1.84286680968081e-06
"wwwweareluxcom",16,2.9485868954893e-06
"wwwwedrawthelinescagov",24,4.42288034323394e-06
"wwwweedmapscom",6,1.10572008580849e-06
"wwwwilsonhotamalescom",4,7.37146723872324e-07
"wwwyoutubecom",8,1.47429344774465e-06
"wwwyoutubecomkaebelltunes",12,2.21144017161697e-06
"wwwzanbeelartcom",14,2.58001353355313e-06
"wwwzesmocom",27,4.97574038613819e-06
"wwyd",9,1.65858012871273e-06
"wx",65,1.19786342629253e-05
"wy",49,9.03004736743597e-06
"wya",10,1.84286680968081e-06
"wyandotte",10,1.84286680968081e-06
"wyatt",167,3.07758757216695e-05
"wycliffe",17,3.13287357645738e-06
"wyd",91,1.67700879680954e-05
"wye",33,6.08146047194667e-06
"wyeast",36,6.63432051485092e-06
"wyk",14,2.58001353355313e-06
"wyler",4,7.37146723872324e-07
"wylie",46,8.47718732453173e-06
"wyman",27,4.97574038613819e-06
"wynkoop",30,5.52860042904243e-06
"wynn",103,1.89815281397123e-05
"wynne",36,6.63432051485092e-06
"wynonna",6,1.10572008580849e-06
"wyoming",182,3.35401759361907e-05
"wyomings",10,1.84286680968081e-06
"wyou",103,1.89815281397123e-05
"wyour",65,1.19786342629253e-05
"wys",11,2.02715349064889e-06
"wysiwyg",5,9.21433404840405e-07
"wyvern",6,1.10572008580849e-06
"wzrd",8,1.47429344774465e-06
"x",10060,0.00185392401053889
"xa",4,7.37146723872324e-07
"xacto",12,2.21144017161697e-06
"xanadu",23,4.23859366226586e-06
"xanax",76,1.40057877535742e-05
"xander",63,1.16100609009891e-05
"xanders",20,3.68573361936162e-06
"xauusd",34,6.26574715291475e-06
"xavier",243,4.47816634752437e-05
"xavierltcom",25,4.60716702420203e-06
"xaviers",20,3.68573361936162e-06
"xbox",802,0.000147797918136401
"xc",75,1.38215010726061e-05
"xcel",27,4.97574038613819e-06
"xclusive",9,1.65858012871273e-06
"xcode",36,6.63432051485092e-06
"xcom",6,1.10572008580849e-06
"xd",3378,0.000622520408310178
"xday",6,1.10572008580849e-06
"xdd",52,9.58290741034021e-06
"xddd",16,2.9485868954893e-06
"xena",13,2.39572685258505e-06
"xenophobia",45,8.29290064356364e-06
"xenophobic",32,5.89717379097859e-06
"xer",6,1.10572008580849e-06
"xerox",85,1.56643678822869e-05
"xes",27,4.97574038613819e-06
"xfactor",245,4.51502368371798e-05
"xfer",6,1.10572008580849e-06
"xfiles",59,1.08729141771168e-05
"xfinity",41,7.55575391969132e-06
"xfit",21,3.8700203003297e-06
"xhilaration",7,1.29000676677657e-06
"xhosa",9,1.65858012871273e-06
"xhtml",10,1.84286680968081e-06
"xi",95,1.75072346919677e-05
"xia",14,2.58001353355313e-06
"xian",37,6.818607195819e-06
"xii",47,8.66147400549981e-06
"xiii",43,7.92432728162748e-06
"xinch",16,2.9485868954893e-06
"xing",20,3.68573361936162e-06
"xiv",53,9.76719409130829e-06
"xl",134,2.46944152497229e-05
"xlarge",10,1.84286680968081e-06
"xlibris",18,3.31716025742546e-06
"xliii",6,1.10572008580849e-06
"xlv",29,5.34431374807435e-06
"xlvi",59,1.08729141771168e-05
"xm",98,1.80600947348719e-05
"xmas",1065,0.000196265315231006
"xmen",204,3.75944829174885e-05
"xml",125,2.30358351210101e-05
"xmrv",35,6.45003383388283e-06
"xo",1655,0.000304994457002174
"xona",7,1.29000676677657e-06
"xoom",20,3.68573361936162e-06
"xoox",6,1.10572008580849e-06
"xox",242,4.45973767942756e-05
"xoxo",1732,0.000319184531436716
"xoxos",8,1.47429344774465e-06
"xoxox",104,1.91658148206804e-05
"xoxoxo",222,4.0911643174914e-05
"xoxoxox",25,4.60716702420203e-06
"xoxoxoxo",57,1.05043408151806e-05
"xoxoxoxox",13,2.39572685258505e-06
"xoxoxs",4,7.37146723872324e-07
"xp",330,6.08146047194667e-05
"xpress",78,1.43743611155103e-05
"xpro",4,7.37146723872324e-07
"xps",22,4.05430698129778e-06
"xquery",7,1.29000676677657e-06
"xrated",33,6.08146047194667e-06
"xray",229,4.22016499416905e-05
"xrays",158,2.91172955929568e-05
"xs",246,4.53345235181479e-05
"xt",12,2.21144017161697e-06
"xtamina",25,4.60716702420203e-06
"xtina",67,1.23472076248614e-05
"xtra",96,1.76915213729358e-05
"xtreme",36,6.63432051485092e-06
"xu",184,3.39087492981269e-05
"xv",52,9.58290741034021e-06
"xvi",71,1.30843543487338e-05
"xvii",13,2.39572685258505e-06
"xx",1580,0.000291172955929568
"xxb",4,7.37146723872324e-07
"xxi",17,3.13287357645738e-06
"xxiii",7,1.29000676677657e-06
"xxl",40,7.37146723872324e-06
"xxoo",65,1.19786342629253e-05
"xxv",9,1.65858012871273e-06
"xxviii",6,1.10572008580849e-06
"xxx",152,2.80115755071483e-05
"xxxooo",7,1.29000676677657e-06
"xxxx",35,6.45003383388283e-06
"xylophone",24,4.42288034323394e-06
"xypherous",35,6.45003383388283e-06
"xyron",16,2.9485868954893e-06
"y",3368,0.000620677541500497
"ya",15259,0.00281203046489195
"yaa",72,1.32686410297018e-05
"yaaaaaaaaay",4,7.37146723872324e-07
"yaaaaaay",24,4.42288034323394e-06
"yaaaay",63,1.16100609009891e-05
"yaaay",96,1.76915213729358e-05
"yaall",10,1.84286680968081e-06
"yaay",58,1.06886274961487e-05
"yaayy",9,1.65858012871273e-06
"yacht",243,4.47816634752437e-05
"yachts",45,8.29290064356364e-06
"yada",118,2.17458283542336e-05
"yadier",29,5.34431374807435e-06
"yael",8,1.47429344774465e-06
"yaga",46,8.47718732453173e-06
"yah",480,8.84576068646789e-05
"yahh",33,6.08146047194667e-06
"yahiro",4,7.37146723872324e-07
"yahoo",790,0.000145586477964784
"yahoonews",12,2.21144017161697e-06
"yahoos",51,9.39862072937213e-06
"yahweh",68,1.25314943058295e-05
"yak",45,8.29290064356364e-06
"yaktrax",6,1.10572008580849e-06
"yakuza",41,7.55575391969132e-06
"yal",165,3.04073023597334e-05
"yala",9,1.65858012871273e-06
"yale",283,5.21531307139669e-05
"yall",8495,0.00156551535482385
"yalll",15,2.76430021452122e-06
"yalls",147,2.70901421023079e-05
"yalsa",6,1.10572008580849e-06
"yam",74,1.3637214391638e-05
"yama",8,1.47429344774465e-06
"yamada",4,7.37146723872324e-07
"yamaguchi",13,2.39572685258505e-06
"yamaha",52,9.58290741034021e-06
"yamamoto",12,2.21144017161697e-06
"yamato",11,2.02715349064889e-06
"yammer",26,4.79145370517011e-06
"yams",64,1.17943475819572e-05
"yan",39,7.18718055775516e-06
"yang",196,3.61201894697439e-05
"yank",104,1.91658148206804e-05
"yanked",119,2.19301150352016e-05
"yankee",454,8.36661531595088e-05
"yankeeincanada",8,1.47429344774465e-06
"yankees",1502,0.000276798594814058
"yanking",41,7.55575391969132e-06
"yanks",287,5.28902774378393e-05
"yann",19,3.50144693839354e-06
"yanni",20,3.68573361936162e-06
"yanno",24,4.42288034323394e-06
"yao",40,7.37146723872324e-06
"yaoi",6,1.10572008580849e-06
"yap",51,9.39862072937213e-06
"yapping",34,6.26574715291475e-06
"yappy",19,3.50144693839354e-06
"yard",3178,0.000585663072116561
"yardage",60,1.10572008580849e-05
"yards",1645,0.000303151590192493
"yardstick",47,8.66147400549981e-06
"yardwork",22,4.05430698129778e-06
"yarn",955,0.000175993780324517
"yarns",81,1.49272211584146e-05
"yarnworks",8,1.47429344774465e-06
"yarra",12,2.21144017161697e-06
"yas",44,8.10861396259556e-06
"yaself",23,4.23859366226586e-06
"yash",11,2.02715349064889e-06
"yass",4,7.37146723872324e-07
"yates",127,2.34044084829463e-05
"yauch",241,4.44130901133075e-05
"yaw",46,8.47718732453173e-06
"yawl",9,1.65858012871273e-06
"yawn",296,5.4548857566552e-05
"yawned",22,4.05430698129778e-06
"yawning",106,1.95343881826166e-05
"yay",6080,0.00112046302028593
"yaya",79,1.45586477964784e-05
"yayay",9,1.65858012871273e-06
"yayayay",23,4.23859366226586e-06
"yayayaya",10,1.84286680968081e-06
"yayy",166,3.05915890407014e-05
"yayyy",139,2.56158486545633e-05
"yayyyy",103,1.89815281397123e-05
"yayyyyy",52,9.58290741034021e-06
"yayyyyyy",18,3.31716025742546e-06
"yazmir",6,1.10572008580849e-06
"yazoo",8,1.47429344774465e-06
"ybarra",5,9.21433404840405e-07
"ybor",28,5.16002706710627e-06
"yc",18,3.31716025742546e-06
"yd",97,1.78758080539039e-05
"yday",20,3.68573361936162e-06
"yds",91,1.67700879680954e-05
"ye",1114,0.000205295362598442
"yea",6217,0.00114571029557856
"yeaa",119,2.19301150352016e-05
"yeaah",59,1.08729141771168e-05
"yeaahhh",11,2.02715349064889e-06
"yeager",14,2.58001353355313e-06
"yeah",25045,0.00461545992484559
"yeaha",6,1.10572008580849e-06
"yeahand",12,2.21144017161697e-06
"yeahbuddy",16,2.9485868954893e-06
"yeahh",310,5.71288711001051e-05
"yeahhe",4,7.37146723872324e-07
"yeahi",112,2.06401082684251e-05
"yeahit",30,5.52860042904243e-06
"yeahs",17,3.13287357645738e-06
"yeahthe",11,2.02715349064889e-06
"yeahyou",13,2.39572685258505e-06
"yeai",23,4.23859366226586e-06
"yealy",4,7.37146723872324e-07
"yeap",54,9.95148077227637e-06
"year",63104,0.0116292267158098
"yearand",38,7.00289387678708e-06
"yearbook",184,3.39087492981269e-05
"yearbooks",33,6.08146047194667e-06
"yearbut",23,4.23859366226586e-06
"yearend",68,1.25314943058295e-05
"yeari",48,8.84576068646789e-06
"yearling",14,2.58001353355313e-06
"yearlong",68,1.25314943058295e-05
"yearly",289,5.32588507997754e-05
"yearmaybe",8,1.47429344774465e-06
"yearn",120,2.21144017161697e-05
"yearned",33,6.08146047194667e-06
"yearning",190,3.50144693839354e-05
"yearnings",15,2.76430021452122e-06
"yearns",27,4.97574038613819e-06
"yearold",2846,0.000524479894035159
"yearolds",162,2.98544423168291e-05
"yearonyear",15,2.76430021452122e-06
"yearor",4,7.37146723872324e-07
"yearoveryear",17,3.13287357645738e-06
"yearround",142,2.61687086974675e-05
"years",53336,0.00982911441611357
"yearsand",21,3.8700203003297e-06
"yearsi",23,4.23859366226586e-06
"yearslong",5,9.21433404840405e-07
"yearsold",54,9.95148077227637e-06
"yearthey",4,7.37146723872324e-07
"yeasayer",10,1.84286680968081e-06
"yeast",980,0.000180600947348719
"yeasts",41,7.55575391969132e-06
"yeasty",42,7.7400406006594e-06
"yeathat",4,7.37146723872324e-07
"yeats",98,1.80600947348719e-05
"yeay",23,4.23859366226586e-06
"yee",230,4.23859366226586e-05
"yeeah",24,4.42288034323394e-06
"yeee",55,1.01357674532445e-05
"yeeee",28,5.16002706710627e-06
"yeeeeeee",4,7.37146723872324e-07
"yeeeeeeeeeee",4,7.37146723872324e-07
"yeehaw",74,1.3637214391638e-05
"yees",12,2.21144017161697e-06
"yeesh",50,9.21433404840405e-06
"yeh",150,2.76430021452122e-05
"yehudah",4,7.37146723872324e-07
"yelchin",4,7.37146723872324e-07
"yelena",13,2.39572685258505e-06
"yell",858,0.000158117972270614
"yella",12,2.21144017161697e-06
"yelled",802,0.000147797918136401
"yellin",33,6.08146047194667e-06
"yelling",1130,0.000208243949493932
"yellow",3703,0.000682413579624804
"yellowcolored",3,5.52860042904243e-07
"yellowfin",9,1.65858012871273e-06
"yellowgreen",10,1.84286680968081e-06
"yelloworange",7,1.29000676677657e-06
"yellows",87,1.6032941244223e-05
"yellowstone",75,1.38215010726061e-05
"yells",241,4.44130901133075e-05
"yelp",399,7.35303857062643e-05
"yelped",16,2.9485868954893e-06
"yelping",20,3.68573361936162e-06
"yelps",16,2.9485868954893e-06
"yemen",164,3.02230156787653e-05
"yen",152,2.80115755071483e-05
"yeo",13,2.39572685258505e-06
"yeon",19,3.50144693839354e-06
"yeow",8,1.47429344774465e-06
"yep",4133,0.000761656852441079
"yepand",8,1.47429344774465e-06
"yepjust",4,7.37146723872324e-07
"yepp",54,9.95148077227637e-06
"yeppers",7,1.29000676677657e-06
"yer",382,7.03975121298069e-05
"yerba",26,4.79145370517011e-06
"yergertech",4,7.37146723872324e-07
"yergin",6,1.10572008580849e-06
"yerself",13,2.39572685258505e-06
"yes",39937,0.00735985717782225
"yesall",4,7.37146723872324e-07
"yesand",15,2.76430021452122e-06
"yeses",7,1.29000676677657e-06
"yesh",48,8.84576068646789e-06
"yeshe",6,1.10572008580849e-06
"yeshua",51,9.39862072937213e-06
"yesi",88,1.62172279251911e-05
"yesit",22,4.05430698129778e-06
"yeslove",6,1.10572008580849e-06
"yesmen",6,1.10572008580849e-06
"yesno",31,5.71288711001051e-06
"yesplease",6,1.10572008580849e-06
"yesrt",18,3.31716025742546e-06
"yess",366,6.74489252343177e-05
"yessir",184,3.39087492981269e-05
"yessum",4,7.37146723872324e-07
"yest",43,7.92432728162748e-06
"yesterday",13544,0.00249597880703169
"yesterdayand",12,2.21144017161697e-06
"yesterdayit",7,1.29000676677657e-06
"yesterdays",883,0.000162725139294816
"yesteryear",43,7.92432728162748e-06
"yesthe",8,1.47429344774465e-06
"yesturday",46,8.47718732453173e-06
"yeswe",13,2.39572685258505e-06
"yesyes",26,4.79145370517011e-06
"yesyou",20,3.68573361936162e-06
"yet",30173,0.00556048202484991
"yetbut",44,8.10861396259556e-06
"yeti",101,1.86129547777762e-05
"yetlol",9,1.65858012871273e-06
"yetso",6,1.10572008580849e-06
"yew",103,1.89815281397123e-05
"yey",63,1.16100609009891e-05
"yezzir",15,2.76430021452122e-06
"yg",115,2.11929683113293e-05
"ygs",10,1.84286680968081e-06
"yh",20,3.68573361936162e-06
"yhat",6,1.10572008580849e-06
"yhu",244,4.49659501562118e-05
"yhur",38,7.00289387678708e-06
"yi",104,1.91658148206804e-05
"yiddish",61,1.12414875390529e-05
"yield",491,9.04847603553278e-05
"yielded",143,2.63529953784356e-05
"yielding",73,1.34529277106699e-05
"yields",236,4.34916567084671e-05
"yikes",942,0.000173598053471932
"yildirim",11,2.02715349064889e-06
"yin",104,1.91658148206804e-05
"ying",36,6.63432051485092e-06
"yinz",51,9.39862072937213e-06
"yip",34,6.26574715291475e-06
"yippee",196,3.61201894697439e-05
"yippie",25,4.60716702420203e-06
"yippy",8,1.47429344774465e-06
"yj",16,2.9485868954893e-06
"yk",43,7.92432728162748e-06
"yknow",182,3.35401759361907e-05
"yl",18,3.31716025742546e-06
"ymca",211,3.88844896842651e-05
"ymcmb",38,7.00289387678708e-06
"yn",26,4.79145370517011e-06
"ynet",8,1.47429344774465e-06
"ynez",8,1.47429344774465e-06
"yngsquad",6,1.10572008580849e-06
"yo",6503,0.00119841628633543
"yob",6,1.10572008580849e-06
"yobitv",23,4.23859366226586e-06
"yocum",4,7.37146723872324e-07
"yoda",109,2.00872482255208e-05
"yodas",12,2.21144017161697e-06
"yodel",6,1.10572008580849e-06
"yodeling",13,2.39572685258505e-06
"yoga",2497,0.000460163842377298
"yoghurt",110,2.02715349064889e-05
"yogi",203,3.74101962365204e-05
"yogic",25,4.60716702420203e-06
"yogis",49,9.03004736743597e-06
"yogo",9,1.65858012871273e-06
"yogurt",1228,0.000226304044228803
"yoi",25,4.60716702420203e-06
"yoke",115,2.11929683113293e-05
"yoked",20,3.68573361936162e-06
"yokes",7,1.29000676677657e-06
"yoko",54,9.95148077227637e-06
"yokohama",19,3.50144693839354e-06
"yolanda",41,7.55575391969132e-06
"yolk",170,3.13287357645738e-05
"yolks",176,3.24344558503823e-05
"yolo",833,0.000153510805246411
"yom",116,2.13772549922974e-05
"yon",23,4.23859366226586e-06
"yonder",61,1.12414875390529e-05
"yong",112,2.06401082684251e-05
"yoni",10,1.84286680968081e-06
"yonkers",44,8.10861396259556e-06
"yonks",10,1.84286680968081e-06
"yoo",153,2.81958621881164e-05
"yoochun",127,2.34044084829463e-05
"yoohoo",26,4.79145370517011e-06
"yooo",90,1.65858012871273e-05
"yoooo",51,9.39862072937213e-06
"yooooo",26,4.79145370517011e-06
"yoou",43,7.92432728162748e-06
"yoouu",6,1.10572008580849e-06
"yoplait",16,2.9485868954893e-06
"yor",41,7.55575391969132e-06
"yorba",7,1.29000676677657e-06
"yore",56,1.03200541342125e-05
"york",9028,0.00166374015577984
"yorkbased",29,5.34431374807435e-06
"yorke",33,6.08146047194667e-06
"yorker",262,4.82831104136372e-05
"yorkers",207,3.81473429603928e-05
"yorks",238,4.38602300704033e-05
"yorkshire",223,4.10959298558821e-05
"yos",33,6.08146047194667e-06
"yoself",53,9.76719409130829e-06
"yosemite",83,1.52957945203507e-05
"yoshi",47,8.66147400549981e-06
"yoshis",39,7.18718055775516e-06
"yost",49,9.03004736743597e-06
"yotes",64,1.17943475819572e-05
"yotto",4,7.37146723872324e-07
"you",913824,0.168405591948976
"youa",16,2.9485868954893e-06
"youainthittinitrightif",4,7.37146723872324e-07
"youand",115,2.11929683113293e-05
"youare",13,2.39572685258505e-06
"youbut",74,1.3637214391638e-05
"youcanttrust",4,7.37146723872324e-07
"youch",5,9.21433404840405e-07
"youcheck",4,7.37146723872324e-07
"youcuteandallbut",57,1.05043408151806e-05
"youd",1378,0.000253947046374016
"youdid",6,1.10572008580849e-06
"youer",17,3.13287357645738e-06
"youespecially",4,7.37146723872324e-07
"yougetmajorpointsif",41,7.55575391969132e-06
"yougetpointsif",30,5.52860042904243e-06
"yougettinpunchedif",27,4.97574038613819e-06
"yougood",17,3.13287357645738e-06
"youhave",22,4.05430698129778e-06
"youhe",11,2.02715349064889e-06
"youi",236,4.34916567084671e-05
"youif",28,5.16002706710627e-06
"youit",46,8.47718732453173e-06
"youits",8,1.47429344774465e-06
"youk",48,8.84576068646789e-06
"youkilis",36,6.63432051485092e-06
"youknow",6,1.10572008580849e-06
"youknowitsreal",5,9.21433404840405e-07
"youknowitsrealwhen",43,7.92432728162748e-06
"youknowlifeisgreatwhen",14,2.58001353355313e-06
"youknowwhat",20,3.68573361936162e-06
"youknowwhatannoysme",22,4.05430698129778e-06
"youknowwhatsannoying",14,2.58001353355313e-06
"youknowwhoyouare",8,1.47429344774465e-06
"youknowyoubrokewhen",7,1.29000676677657e-06
"youll",3494,0.000643897663302475
"youlol",27,4.97574038613819e-06
"youmaybe",8,1.47429344774465e-06
"young",16100,0.0029670155635861
"youngblood",25,4.60716702420203e-06
"younger",2914,0.000537011388340988
"youngest",946,0.000174335200195805
"youngin",36,6.63432051485092e-06
"youngins",40,7.37146723872324e-06
"youngish",11,2.02715349064889e-06
"younglings",4,7.37146723872324e-07
"youngman",22,4.05430698129778e-06
"youngn",4,7.37146723872324e-07
"youngs",118,2.17458283542336e-05
"youngster",96,1.76915213729358e-05
"youngsters",197,3.6304476150712e-05
"youngstown",45,8.29290064356364e-06
"younguns",12,2.21144017161697e-06
"younow",69,1.27157809867976e-05
"yount",25,4.60716702420203e-06
"yountville",6,1.10572008580849e-06
"youo",9,1.65858012871273e-06
"youoh",10,1.84286680968081e-06
"youp",21,3.8700203003297e-06
"your",272881,0.0502883337892509
"youre",10181,0.00187622269893603
"yourre",26,4.79145370517011e-06
"yours",4861,0.000895817556185842
"yourself",15313,0.00282198194566422
"yourselfyou",6,1.10572008580849e-06
"yourselfyour",4,7.37146723872324e-07
"yourselves",728,0.000134160703744763
"yourt",14,2.58001353355313e-06
"yous",207,3.81473429603928e-05
"youse",34,6.26574715291475e-06
"youself",24,4.42288034323394e-06
"youshould",4,7.37146723872324e-07
"youso",41,7.55575391969132e-06
"yousuf",71,1.30843543487338e-05
"yout",21,3.8700203003297e-06
"youth",3540,0.000652374850627007
"youthey",10,1.84286680968081e-06
"youthful",252,4.64402436039564e-05
"youthis",16,2.9485868954893e-06
"youths",227,4.18330765797544e-05
"youthviolence",4,7.37146723872324e-07
"youto",21,3.8700203003297e-06
"youtown",6,1.10572008580849e-06
"youtube",3826,0.000705080841383878
"youtubecom",31,5.71288711001051e-06
"youu",690,0.000127157809867976
"youur",14,2.58001353355313e-06
"youve",3277,0.000603907453532401
"youwannaimpressme",7,1.29000676677657e-06
"youwe",24,4.42288034323394e-06
"youwerecuteuntil",53,9.76719409130829e-06
"youwhat",27,4.97574038613819e-06
"youwhy",10,1.84286680968081e-06
"youyou",108,1.99029615445527e-05
"youyour",25,4.60716702420203e-06
"yovani",18,3.31716025742546e-06
"yow",50,9.21433404840405e-06
"yoy",22,4.05430698129778e-06
"yoyo",94,1.73229480109996e-05
"yp",19,3.50144693839354e-06
"ypc",6,1.10572008580849e-06
"ypf",9,1.65858012871273e-06
"ypsilanti",16,2.9485868954893e-06
"ypu",23,4.23859366226586e-06
"ypur",9,1.65858012871273e-06
"ypweek",18,3.31716025742546e-06
"yr",2802,0.000516371280072563
"yrd",11,2.02715349064889e-06
"yrold",103,1.89815281397123e-05
"yrolds",11,2.02715349064889e-06
"yrs",2056,0.000378893416070375
